1	01  ゲートは今ひらく	cnZ_2JZAmMU
2	02  出遅れスタート	rgcGxPWxTnY
3	03  蹄鉄、強く軽やかに	km51bsLt-Tw
4	04  勝利をこの手に	uWQ9VD3COxY
5	05  心臓破りの坂	Wvhu_BQ1248
6	06  芦毛、遥か彼方に	-PNdjtrk-iA
7	07  ファンファーレは君に降り注ぐ	NfWvOTQ1His
8	08  脚取りは重く	2KCBrQFD0zw
9	09  とにかく脚を回せ	YIpsBznGIWA
10	10  黒鹿毛、風に揺れる	Y3oqppNBWsc
11	11  勝利の女神も夢中にさせるよ	axfp5A4CkZQ
12	12  星空の下、ひとり	cNnT33eOcvA
13	13  寂しくなんかなかった	20Wp8TeM-sY
14	14  今日も頑張る黒鹿毛少女	dxAeOS4Vj8s
15	15  あなたがいるから	wg8D1ywO6D4
16	16  ウマ娘心と秋の空	U2dcC3IXrFs
17	17  明日はきっとウマくいく	uUkI7HJlz7w
18	18  一体どうして	NcglWMwJVgs
19	19  天高く、ウマ娘燃ゆる青春	1Yv6w6sVYnk
20	20  強がりを強さに	RGXFx-uh9Zg
21	21  やるしかないんだ	y2oLLeR6wiY
22	22  やるときはやるんだ	cwXTlEWAxLE
23	23  今すぐStep it!	-M5Wr_jqg4Y
24	24  憧れの君へ	WAGeQBVw-XM
25	25  神メ雄壮	lZu3T_uduiI
26	26  ウマ娘、日々是成長!	u6oNqIrxEsI
27	27  集まればバ耳東風	pZZKFh5Fe-E
28	28  便箋は楽しげに語る	a2TPGAAVziw
29	29  にんじんの雲	pQ2S6yTvoLg
30	30  唯一抜きん出て並ぶ者なし	e45VAs_I340
31	31  飛び込め!	vcqNnhZecv4
32	32  逃げ足も速いのね	-uQk5biBwOA
33	33  鹿の蹄の垢	aBDvI_VMjgs
34	34  つける薬はない	GxjMK5w_Te0
35	35  せめぎ合う二人	Y-bWCpMaSw8
36	36  ウマが合う二人	WuEo-l9lKwE
37	37  いずれバ脚を現す	tv2LjtDheno
38	38  沈黙	dX9Pcb3HhWc
39	39  響け、ファンファーレ!	cnQit95-Y6w
40	40  そんなこともある	J8img_D_pWI
41	41  いいことだってある	YaI_JrmBvVQ
42	42  明日につなげて	2n5xQ_skxdY
43	43  ウマ娘の歴史	EdQb9YTSjvU
44	44  はじめての景色	4GBOiZx-sPQ
45	45  大事なお知らせ	Ky_lWDBjpeg
46	46  ときには無邪気に遊びたい	kPGSRwZ-YVo
47	47  大丈夫だから	v4kwqzFrA-s
48	48  ずっと夢見てたから	LZ4ZziOSJd4
49	49  夢のゲートはいま開く	WgiGm7Acqmo
50	50  未来へのファンファーレ	1qe0cvhCHbw
51	GIRLS' LEGEND U ―やっとみんな会えたね―	k6HEwAXGbWM
52	URA Finals!!	FhtuBff9N0g
53	Kono Obutai de mo Kitto	WQBIdWoQ1Us
54	Kiseki ni Tachi aeta Shunkan	ViViKMiAFz0
55	Ee Douse Watashi wa Jamamono desu kara	EtZQ7oSPGOo
56	At Home na Team	JQwvBEMmR7k
57	Let's go! Start!	PuQu9_TfTQ4
58	Mejiroke no Shimei o Tomo ni Seou to iu Koto	KeMiYcqLEWM
59	Shinjite Sasae tsuzukeru Koto	5cFN3xPPEwQ
60	Toresen Gakuen Annai	1-ityVZlLQQ
61	Fugai Nai Kekka	m5K0641_-Kk
62	Maegami Pattsun no Umamusume	K258gFV9Wvk
63	Dosakusa ni Magirete Takarou to suru no wa	uxOc8MlW5Oo
64	Ushiro de Aitsu ga Ugoiteru	Aj2r8lc8PBQ
65	Tareme no Umamusume	po0vDK2Hi5o
66	Shinsei Team ᐸSiriusᐳ	4PnhlPWU8aA
67	Suichu	BAptqj9z5l4
68	Nicchu to Yoru ga Chotto Chigau Home no Ongaku (Hiru)	S6iOZ6gfbWI
69	GIRLS' LEGEND U -Yatto Minna Aeru-	gYtzAJmLEAA
70	GIRLS' LEGEND U -Ide yo! Rainbow!!-	USrwLTpPeQg
71	Ikusei Kyokachu	yglxhDRjQlM
72	Make debut! -Ikusei Hajimemashita-	qII9H0LDZB0
73	URA Junior Class Classic Class	mI_Aetl7Amo
74	Shutter to Jitensha Bell no Oto ga suru Shotengai	-W4snqNtjLw
75	Kuchibue! desu ga, Nani ka?	soO_fB4eY8U
76	Yacchimatte mo Daijobu da yo	j3IYvN-hFQk
77	Jitsu wa Taisetsu na Takaramono	wZIfRG51YwQ
78	Gakkyu Iincho desu kara	39Z11F4Wc0E
79	Pop na Koshaura	dltl5ibaLSQ
80	Daitai Rijicho	xGJHh8jPcqA
81	Nicchu to Yoru ga Chotto Chigau Home no Ongaku (Yoru)	8DOzjHj5NS8
82	URA Senior Class	8H_vCjIC-xw
83	Gasshuku de Umizoi Seaside	GxPwFSSCopk
84	Gasshuku de Pool-zoi Poolside	M9RKm8rntCQ
85	Iku Kukan ni Hikizuri kome	odfv3SDlWuU
86	Wow Anshin	R4ktUeaTBiU
87	Jingle Bells	dg5Bw8j1M6E
88	Oshogatsu dayo GIRLS' LEGEND U	C8h4zc7pvOw
89	Fukubiki no Aru Shotengai	W4seJjnoByk
90	Fukubiki Chance!	6zC6FU703FM
91	Happy Valentine's Day!!	gdZ-tZ_lsus
92	Tacchan	2lsb_TuPmaM
93	Watashi ni Totte Subete datta kara	DxWNXuGnBL8
94	3nenkan no Omoide	fjAwVJZbfYE
95	Paddock	PtRSP4lBF6Y
96	Daily Race	FxD9ZLZrn1k
97	Daily Race Saigo no Shobu	ejzLClBgkv4
98	Open Race	9JPDWtMF20E
99	Open Race Saigo no Shobu	FB0Rp-j_jWM
100	Jusho Paddock	A6DWOBW83LU
101	GⅢ	yyxoukXYXho
102	GⅢ Saigo no Shobu	VhTDVt5Xveo
103	GⅡ	eNvOjIrx_4M
104	GⅡ Saigo no Shobu	YfYIVsotNks
105	URA Fainals Fanfare	OXoRN7gWdkg
106	GⅠ & URA Fainals	kJ3vUdtxiPM
107	GⅠ & URA Fainals Saigo no Shobu	lKxIRX_nH3g
108	URA Fainals Kessho Shussohyo	bb2y0nf41W4
109	URA Fainals Kessho Fanfare	hjTRi3fMmu4
110	Nihon Derby Arima Kinen URA Kessho	Kn9fMdQGKgU
111	Nihon Derby Arima Kinen URA Kessho Saigo no Kessen	yjmCCTTDyhM
112	Tokyo & Nakayama GⅠKyoso	hPcDMk-ib6E
113	Tokyo & Nakayama Jusho Kyoso	fuQGP3m3Qdo
114	Tokyo & Nakayama Ippan Kyoso	uupIdl98OEo
115	Kyoto & Hanshin GⅠKyoso	TSEptoy3XdQ
116	Kyoto & Hanshin GⅠKyoso	TSEptoy3XdQ
117	Kyoto & Hanshin Jusho Kyoso	LjScF64G_8I
118	Kyoto & Hanshin Ippan Kyoso	R0vN-97prO4
119	Takarazuka Kinen Kyoso	yyDpSWFDPWU
