1	めにしゅき♡ラッシュっしゅ！	8ULbYqRtlMQ
2	AmpReFire	8VSWzNDTfWo
3	豪快突破☆プリンセス！	NNwHqZ5gQgQ
4	魔法がなくちゃはじまらないでしょ？	Xgelu4nyQzQ
5	ギフト	BjhfIDTNElE
6	うまぴょい伝説	83abKt92zas
7	Koeru	n5ntakgegH8
8	∞	kuMQureM-kA
9	BRIGHTEST HEART	YExL2ilCMLs
10	栄養戦士キャロットマン MV	EVRbgu3Qwl0
11	ウマ娘  - うまぴょい伝説（32人mix）	mEVC3prQz0Y
12	ENDLESS DREAM!! (2021 Remastered Version)	jfC74_Ddf9o
13	ENDLESS DREAM!! (スペシャルウィーク ver.) (2021 Remastered Version)	XVNrEoNUkYk
14	ENDLESS DREAM!! (サイレンススズカ ver.) (2021 Remastered Version)	Lo6QkDZmfN4
15	ENDLESS DREAM!! (トウカイテイオー ver.) (2021 Remastered Version)	q6QAnaKgE9M
16	MAKE DEBUT - OP UMA MUSUME PRETTY DERBY (TV)	Yeu9HQUt6TE
17	ウマ娘_プリティーダービー 七色の景色	89oKQhk7I3Y
18	グロウアップ・シャイン！ (2021 Remastered Version)	R2-FjRvJW8s
19	ありがとう、神様	xgh6iSTiTeQ
20	Special Record! (2021 Remastered Version)	NlR4m8y-Wuo
21	ウマ娘 Find My Only Way	gaKVDF-gb90
22	うまぴょい伝説 (TV Size) (2021 Remastered Version)	YcKbHdq2RFQ
23	Special Record! (2021 Remastered Version)	NOTo8IrnCqo
24	Umapyoi Densetsu - Trainer Ver (Uma Musume)	ZuaO2p0lL4s
25	Special Record! (2021 Remastered Version)	bdaT9EoMZuU
26	【ウマ娘 /賽馬娘】うまぴょい伝説 (Covered by 豐口惠)	2aJa2F0LT04
27	Special Record! (2021 Remastered Version)	3H4mqVB54oM
28	【ウマ娘 /賽馬娘】うまぴょい伝説 (Covered by 明坂聡美)	gPuYPuPLIqs
29	Fanfare for Future! (2021 Remastered Version)	0xlAFVz7_H8
30	恋はダービー☆	xf4DvqA_P8Q
31	ウマ娘 silent star	tIDqZYLnx2M
32	わたしの印は大本命◎ (2021 Remastered Version)	WkPIsV8YoRY
33	ウマ娘　うまぴょい伝説(スペシャルウィーク、サイレンススズカ、トウカイテイオー)	wlKAc-yytxs
34	禁断Burning Heart (2021 Remastered Version)	uSGnFMFeyKc
35	DREAM JACK (2021 Remastered Version)	fI4rjwJVQe0
36	unbreakable (2021 Remastered Version)	q6Z7Dm1X1EQ
37	UNLIMITED IMPACT (2021 Remastered Version)	VYoBMd7rA3k
38	うまぴょい伝説 (2021 Remastered Version)	d_fHXVKnSs8
39	CATCH THE VICTORY! (2021 Remastered Version)	5ZpdKQHbbFY
40	Rising Girl (2021 Remastered Version)	6Gcw1M53q6I
41	Goal To My SHIP (2021 Remastered Version)	cQN0Wp3o1I8
42	ぼくらのブルーバードデイズ (2021 Remastered Version)	9DvHWyojJiA
43	うまぴょい伝説 (2021 Remastered Version)	JVETV_AaieE
44	奇跡を信じて！ (2021 Remastered Version)	YLpwqD08nw4
45	鳥かごのロンリーバード (2021 Remastered Version)	Xith_-Oo_vc
46	直感ノープロブレム！ (2021 Remastered Version)	WbpbQ56LWDw
47	Secret GRADUATION (2021 Remastered Version)	-Zk7pIiY3Dc
48	うまぴょい伝説 (2021 Remastered Version)	0TfUPEMx7pk
49	世界は僕らの言いなりさ (2021 Remastered Version)	Ink30IstfuM
50	帝笑歌劇～讃えよ永久に～ (2021 Remastered Version)	jhDzv2zEczc
51	L's Surprise!! (2021 Remastered Version)	S-4LgLNBImc
52	Waiting for Tomorrow (2021 Remastered Version)	uyvzWZGunBY
53	うまぴょい伝説 (2021 Remastered Version)	qMz40g9vuNw
54	シャドーロールの誓い - Narita Brian	ngAe_R3BANc
55	EMPRESS GAME - Air Groove	6O2vD3-_gkg
56	SEVEN - Symboli Rudolf	iESeEt9fxZg
57	大好きのタカラバコ (2021 Remastered Version)	CT53Cq6Dl78
58	ウマ娘　うまぴょい伝説(シンボリルドルフ、エアグルーヴ、ナリタブライアン)	YxBKPsmW9ak
59	今日もウララかケセラセラ！ (2021 Remastered Version)	P_-XGKuxWRo
60	Lucky Comes True! (2021 Remastered Version)	TH_3Ej4tvSs
61	ふんわりSlowly (2021 Remastered Version)	artgzFlsuU8
62	PRESENT MARCH♪ (2021 Remastered Version)	VLFB3PPVZNA
63	うまぴょい伝説 (2021 Remastered Version)	BH0Gd9X03XM
64	気まぐれ Tuning Heart	CloXXCjpIV8
65	素顔のココロ (2021 Remastered Version)	_b0HK71WVbc
66	シティプリンセス! (2021 Remastered Version)	-Bwwaz336U8
67	A・NO・NE (2021 Remastered Version)	zFQjQ2rFst8
68	うまぴょい伝説 (2021 Remastered Version)	Jc6ajNijjbg
69	希望ディスカバリー (2021 Remastered Version)	tzrNwUajwf4
70	全速！前進！ウマドルパワー☆ (2021 Remastered Version)	o5kI-LrbcFg
71	恋する世界 (2021 Remastered Version)	FSgr-VmC0wM
72	青春が待ってる (2021 Remastered Version)	l2hWTO9Aq0A
73	うまぴょい伝説 (2021 Remastered Version)	quruXCL6W1I
74	猪突猛進爆進中!! (2021 Remastered Version)	Zqoi8CjITxs
75	一撃入魂☆ペガサスパンチ (2021 Remastered Version)	LpXJVsmU74c
76	My Against Fight (2021 Remastered Version)	N6zAGGUKBwk
77	ユメゾラ (2021 Remastered Version)	ihQoBAlDHFw
78	ウマ娘　うまぴょい伝説(タマモクロス、サクラバクシンオー、ビゴーペガサス)	30FGXqwuHDA
79	手綱と絆 (2021 Remastered Version)	-wrbFUvTycI
80	WINNING MELODY (2021 Remastered Version)	JAabHu5yllk
81	感情ノ黎明 (2021 Remastered Version)	ORCz8YU_kLU
82	春空BLUE (2021 Remastered Version)	23ieS3jZXSE
83	うまぴょい伝説 (2021 Remastered Version)	rh8uH8ndixk
84	Air Race (2021 Remastered Version)	W3yaQuFU6Uc
85	楽園 (2021 Remastered Version)	hj9PxkNERAY
86	アウト・オブ・トライアングル (2021 Remastered Version)	STSBraMf284
87	Go This Way (2021 Remastered Version)	nPd3qd0hVPk
88	うまぴょい伝説 (2021 Remastered Version)	lyGdVSGHOnk
89	ぴょいっと♪はれるや！	G9D55C_WEqI
90	Ring Ring ダイアリー	6-EN7D9e42U
91	逃げ切りっ！Fallin' Love	YSZo4vevmBg
92	オペラ劇場・『嗚呼それが我が宿命』	8hb00BktXEM
93	ウマ娘プリティーダービー　「走れウマ娘」フル　歌詞は概要欄	iOnmn-PqKLg
94	ぱかチューブっ！ ですが、何か？full	nPWOR-U7iPQ
95	ユメヲカケル！	vIo3GWaAbw8
96	winning the soul	78wEqO-Nia0
97	木漏れ日のエール	QkSCy3r8N9M
98	ささやかな祈り	Cs70yKJmUvs
99	願いのカタチ	xVHBTM754Iw
100	木漏れ日のエール FULL Size 12話イントロVer．	cX_tXtL8V7A
101	うまぴょい伝説 (TV Size)	LAV7y5eClp8
102	Enjoy and Join	TGXC2qKgpVg
103	ユメヲカケル！ (TV Size)	4EYBDt32wZs
104	GIRLS' LEGEND U	G7RmGsHxv-Q
105	NEXT FRONTIER	NHmEc1WmKYU
106	本能スピード	5ABG71GALA8
107	はじまりのSignal	2v7WLAa8Aak
108	うまぴょい伝説	VFOg6mHtZcA
109	GIRLS' LEGEND U (Game Size)	SbXm_EEoOQY
110	涙ひかって明日になれ！	DyA8qiqo-XA
111	彩 Phantasia	lHL7f7N0BHA
112	BLAZE	BqMq43k9UCA
113	Never Looking Back	ttmGTSbd5J4
114	うまぴょい伝説	NaYMw_P4WU8
115	WINnin' 5 -ウイニング☆ファイヴ-	mR01PgKF-lU
116	Just a little bit	J0dsRDxK8JI
117	transforming	K5TS0a_zhdU
118	Exercise the Right	Q0WO7O_xl4I
119	UNLIMITED IMPACT	ncPoq67ccvY
120	ライトレス	t202gzOzSNA
121	うまぴょい伝説	BEgy93W0lYk
122	winning the soul	jcz3ZwlHyHk
123	BLOW my GALE	7OuVm8V122Q
124	武名疾走！	vF7KsirrzaM
125	ひたむきマイノート	9Xpnlv7s4Us
126	硝子のエトワール	iYRmlk7K6JA
127	Ambitious World	AF6Y1ytOrYI
128	ユメヲカケル！	PNkYmg1333E
129	winning the soul	FIxB-pyRxnU
130	うまぴょい伝説	31FxbAmpVZc
131	We are DREAMERS!!	BM7dtWJ5gdo
132	RUN×RUN！	AITMxhbkrkY
133	うまぴょい伝説	THE8bRvJRIk
134	笑顔の宝物 -Beyond The Future!-	rHDgjiFEkKM
135	マーベラスサンデータイム☆★	PdKj1065-P4
136	ときめきスクランブル	8PkF-MyoE9Q
137	ユースフルアイズ	vqBFjh-fyHY
138	うまぴょい伝説	U43BR0OuwlI
139	メジロ讃歌	EcQiB16lp6I
140	Gaze on Me!	RkBZHyjucrg
141	忘却にて	gfF9KR4naOI
142	LIKE THE WIND	dZ7ph438jZI
143	笑っちゃお！	ZKeNTokpbaw
144	立ち位置ゼロ番！順位は一番！	7rcAOE_Dvbw
145	Precious Star Dreamer	lwQiCwfdW5o
146	うまぴょい伝説	4XKJeaNNrgw
147	KIRARI MAGIC SHOW	KwTssQ8q10A
148	ラキハピファンタスティック	bszt8e1FmyI
149	けっぱれ！輝きストレート	Jjg4dES1HAM
150	悠々閑々	reDNnPwrbd4
151	Ms. VICTORIA	vsnyQd6Ur-M
152	うまぴょい伝説	1FERmHCBPuE
153	Overrunner!	5VnW3IK0HSU
154	Destroy for Dasein	zX766xs4ywQ
155	THE SUPER STRONG S	KgXRBka1tbA
156	Play Again	NegFY5seNi4
157	うまぴょい伝説	77UhCrYksGE
158	トレセン体操	jFN3SK-lEak
159	DRAMATIC JOURNEY	ysr6DfdDfds
160	Everlasting BEATS	wq0S1dbTWio
161	うまぴょい伝説	4KMhYLZkk_U
162	ゆるパカHAPPY DAYS！	kocEhaRmZvE
163	ミッドナイト・エピローグ	lDqXkE0hoV0
164	Dance 2 Endless Beat	KjEoic_cQMg
165	#ウマRAP	t9Rp6x8a-oQ
166	うまゆるラップでプチョヘンザ	DPEN93VWRfo
167	Bright Melody	f3sqgeyfk-s
168	永遠の色彩	l4twV79zP5s
169	うまぴょい伝説 (Game Size)	CSt9kIteuUE
170	うまぴょい伝説 (TAKU INOUE Remix)	7fuMVqNxLzU
171	Never Looking Back (PandaBoY Remix)	NiWz2VEZBz4
172	BLOW my GALE (TeddyLoid Remix)	M9hVXsiWnSc
173	GIRLS' LEGEND U (tofubeats Remix)	oI-KgUxN2B8
174	Make debut! (モリシー (Awesome City Club) Remix)	EVCXKIIXVnk
175	We are DREAMERS!! (☆Taku Takahashi Remix)	xgTzmHdSOkw
176	winning the soul (PandaBoY Remix)	M76avjo26DM
177	笑顔の宝物 -Beyond The Future!- (invisible manners Remix)	w3mn9oG3pBA
178	うまぴょい伝説 (Sasuke Haraguchi Remix)	YHeBOTt_flE
179	ユメヲカケル！ (Takeshi Nakatsuka Remix)	0tShWZuKaZ0
180	チヨノオーのお悩み相談室のうた	ysfxiUHbsmc
181	【公式ミュージックビデオ】ゴルシラップ	Nu_y5orktv0
182	トレセン音頭	K2MLBGo_su8
183	▷▷▷▶︎ぶっとび かっとび 全開エンジン！	Ax13Fyw5h50
184	Excellent Condition	4Y3YQ85apL0
185	TAILWIND	TqtPjObLZa4
186	Hat on your Head！	en26yA8la9k
187	うまぴょい伝説	BG5fgQT7W1k
188	L'Arc de gloire	GJNMS1jEV_o
189	GALACTIC PLAYER	qwdTIJwh750
190	DANCE！DANCE！"ROMAN"	5D6kwFkEMdE
191	You know me	mvE3Z_cPqnY
192	GSK☆	3iALS9Idoso
193	うまぴょい伝説	whhrWeZAOgI
194	Glorious Moment！	O44r1_NZ8ZY
195	Forever gold	d_3GnfqLAUM
196	Like a Shooting Star	ay-oFjFORXA
197	ONCE MORE, I CAN	WjQuOXmHPfY
198	ゼッタイトナリ…！	mpobjYH1kzc
199	イチバン星が駆ける空	8I3RAbNhVJQ
200	うまぴょい伝説 (Anime Size)	AH3uiNhHcjY
201	ソシテミンナノ	1NqM4YRSaBM
202	ソシテミンナノ (TV Size) (13話Ver.)	5o3W8QSIpNs
203	ロストシャイン	bFNDMrpNk_Y
204	うまぴょい伝説	IsyEMpLiKzI
205	アコガレChallenge Dash!!	eBq_kNnVHks
206	空のほほえみ方	oZo7UJwKXd8
207	うまぴょい伝説	jcdCPFlAxec
208	夢のこたえ	JOz43KYxc58
209	光の後ろ姿	OKcBLNIxtpc
210	うまぴょい伝説	fQQlux343wQ
211	Comeback Story V	SKBmR3Q9EQg
212	平凡、時にミラクル	N06SW92sX3A
213	銀河系フィロソフィー	lMtTKqCTe1E
214	埋火の英雄	8ByBwpILd78
215	Ambitious World (Beyond The Promise Ver.)	XOpfiM-oiXw
216	うまぴょい伝説	xPXdHO2JigU
217	U.M.A. NEW WORLD!!	dPj1yTKbWuM
218	EXCEED	H1NRtU1Uf_8
219	僕が憧れた青	lulHBx54moE
220	Confident	3Pv8UaZ2JiM
221	うまぴょい伝説	HP6bz6UAjXE
222	しゃぼん玉	LvE0uQdpW1E
223	【ウマ娘 プリティーダービー】「Fanfare for Future! (maeshima soshi Remix)」	FDWqAijdct0
224	【ウマ娘 プリティーダービー】「逃げ切りっ！Fallin' Love (YUC'e Remix)」	BRMXJ8sEMoE
225	【ウマ娘 プリティーダービー】「彩 Phantasia (YMCK Remix)」	Hi255LHOvAA
226	【ウマ娘 プリティーダービー】「恋はダービー☆ (DÉ DÉ MOUSE Remix)」	8xFS9T5lilM
227	【ウマ娘 プリティーダービー】「禁断Burning Heart (AJURIKA Remix)」	R3E2iWLB1hA
228	【ウマ娘 プリティーダービー】「Exercise the Right (Menma The Cat Remix)」	XVIUUKPVJbc
229	【ウマ娘 プリティーダービー】「ユースフルアイズ (detch Remix)」	R6h0rkcvMgs
230	【ウマ娘 プリティーダービー】「NEXT FRONTIER (fox capture plan Remix)」	MjMXnZcInX0
231	【ウマ娘 プリティーダービー】「UNLIMITED IMPACT (Shinichi Osawa Remix)」	gy92x9IJEfk
232	【ウマ娘 プリティーダービー】「走れウマ娘 (Shuhei Takahashi Remix)」	06BLOQ1bjZw
233	【ウマ娘 プリティーダービー】「木漏れ日のエール (Sasuke Haraguchi Remix)」	LXBj5yaRxIo
234	帝笑歌劇～讃えよ永久に～ (yasushi Remix)	rYopwELjM10
235	爆熱マイソウル	AvoWpVmJHgI
236	QueenBee	a4Wr1sj02L4
237	十帰りの花	OqlLa8zcuJ8
238	朝露は大河の夢を見る	VEQNYXA7D_s
239	Over a Tiara	Wo8JJ3ydjWI
240	うまぴょい伝説	-j3qZjrcpOk
241	Ready!! Steady!! Derby!!	tKzqJzEuTEA
242	Beyond the Finale	m089inrFS_I
243	PRISMATIC SPURT!!!!	zL6n7UVo6FM
244	うまぴょい伝説	MTwvCM6EIVg
245	【ニシノフラワー/ウマ娘】公式が全然作ってくれないから勝手にキャラソン作ってみた【二次創作・合成音声】	h6IspMGTW3E
246	Unite!!	715o9lEChSQ
247	最強ROARING	8T4pUiwJZJI
248	私が主役じゃダメですか？	0SFFjX37csM
249	Mystery × Chemistry	xydedgpI4NU
250	宇宙走娘＜コスモピュエラ＞ 銀河冒険譚	wxVcg1DoaZc
251	宇宙走娘＜コスモピュエラ＞ 銀河冒険譚 -セリフハナイヤツダロン-	0so1WXPwAtA
252	うまぴょい伝説	_MGoLfG5pfw
253	ウマすぎ！グルメパレード	c2EerlVb7Js
254	ゆーてネタだかんね♡	VoThZD3n81s
255	誇りをこの手に	QvN_43PRaC4
256	GOCHISO様	VwkW4sShlEY
257	ピスピス☆スピスピ ゴルシちゃんのうた	o7J5_70j5fM
258	うまぴょい伝説	aKPwOxr1PAU
259	どどっと優勝！大感謝祭！！！	hWIvvYivdrI
260	愛舞い、喰らい。	Uv8xoD-E-h0
261	Love Will Come Through	MvbFvFYpk_U
262	LADY G DONNA	JF8WNheLQzQ
263	うまぴょい伝説	SKF2_RHUv04
264	UMA Summer	jWuqNSkc9Y4
265	I Can't Choose to Give Up!	rjDF62wuIrM
266	マリンブルー・マジック♡	SQ-Mgy5pI2I
267	どこまで走れば	WoH3u-s-Kgk
268	うまぴょい伝説	DrR-N0mPHz4
269	O - ロライズ	P-R09GvY93c
270	ZOKZOK	SGJ-mmkDVSU
271	ピヨっピヨにしてやんよッ！	9G1NqajvYtk
272	Dear My Dream	QSG-tSDjVeI
273	うまぴょい伝説	6OaatoEsees
274	STARTING FORCE	5qFDboChguw
275	夢疾風	5VJRB9aTFv8
276	Stay on Course	ybQ_ObZ9BaA
277	以下、勅命	xY5JtnTte4w
278	うまぴょい伝説	2WW14rlH3xI
279	Legend-Changer	Kpf2mmyzuMM
280	Glory Eyes	qoCnIDpv2TY
281	Absolute Faith	a5PUrdxpZds
282	BoC-izm	J-hWDmXZ7_o
283	うまぴょい伝説	vSaZoRCX7dk
284	Shake The World!!	4IsI_FC9KJ4
285	#カワイイって言って？	75YuwF6hBfY
286	Mile×Rule Star	qDuRoe_S-6M
287	灰のmemoire	2m5eaJ9OCek
288	【ウマ娘 プリティーダービー】「SHAKEROCK」MV	jSTf00Rm5_8
289	うまぴょい伝説	3DZcH4QY8hk
290	灰のmemoire (ED Size [1話Ver.])	4HVt0SGxHwE
291	灰のmemoire (ED Size [2話Ver.])	QcTjkStm-mQ
292	灰のmemoire (ED Size [3話Ver.])	yLOZB3SjaQ8
293	灰のmemoire (ED Size [4話Ver.])	GYgGKC_nye0
294	タッカー's スキルアップアイランド	Fl-4S-vUxPg
295	仰げば尊Mission!	Z6eGoJiuGck
296	パラ・シエンプレ	axVczhJnQuM
297	黎明に咲く華	Z5hgQKU4rJY
298	うまぴょい伝説	9-iJfbjIXPM
