OG1i3Cu5b14, GSK☆
bhyb9xiqstM, Air Shakur - Air Race
jxrqOh-2Yq0, Manhattan Cafe - 楽園 (Rakuen)
cYWPwC9NFY8, アウト・オブ・トライアングル（歌詞付き）
qBJ-b6lVvRk, ウマ娘プリティダービー　Go This Way
UUUxNkxrWcs, うまぴょい伝説 (2021 Remastered Version)
msqgh6p-9Og, ぴょいっと♪はれるや!
27bMXsX0UCw, Ring Ring ダイアリー
pNsObObDINk, 逃げ切りっ!Fallin' Love
uGhJw1Oee_8, オペラ劇場・『嗚呼それが我が宿命』
iOnmn-PqKLg, ウマ娘プリティーダービー　「走れウマ娘」フル　歌詞は概要欄
nPWOR-U7iPQ, ぱかチューブっ！ ですが、何か？full
ku6LyRySR8U, ユメヲカケル！
wHmQi6c_fMw, winning the soul
X3H_IRPCmrc, 木漏れ日のエール
cX_tXtL8V7A, 木漏れ日のエール FULL Size 12話イントロVer．
AmIrqi2jqWE, ささやかな祈り
WJItfcGoaFE, 願いのカタチ
DnrPgUcxa_M, Enjoy and Join
IDmlY3JwCZ4, ユメヲカケル! (TV Size) (13話Ver.)
_qw0hXHhyn0, うまぴょい伝説 (TV Size) (Season 2 Ver.)
nRxd2lSg5Ug, GIRLS' LEGEND U
7bYMxenwFK0, NEXT FRONTIER
E9Acx-V4L-s, 本能スピード
4w1f6TPUq7g, はじまりのSignal
gNp4VNr44hg, うまぴょい伝説
xSolF1ub__E, 涙ひかって明日になれ！
02fuciIoxLM, 彩 Phantasia
VNqq5N2Q_JQ, うまぴょい伝説
e7DhGMEojsU, Never Looking Back
TFeZzTayCLo, BLAZE
TG9uoBxo6R8, WINnin' 5 -ウイニング☆ファイヴ-
EdZj2eCaMbk, Just a little bit
y5EZb_L7VMU, transforming
oya2vp1hCik, Exercise the Right
vPM7Mn-0YPA, UNLIMITED IMPACT
BLROUnsUdcQ, ライトレス
y6foeTw4te8, うまぴょい伝説
8vEKMYWar-4, winning the soul
dQbh6KRbtXk, BLOW my GALE
juiZtevwJ0c, 武名疾走！
qsVLmtdgasA, ひたむきマイノート
fAIyH_pbLis, 硝子のエトワール
pOJOynOFdkU, Ambitious World
LEDMq-Reops, ユメヲカケル！
SGXKnSZb4lM, winning the soul
uLbjVnXHepY, うまぴょい伝説
BzrVdYPKado, RUNxRUN!
P4VXpCyp4wg, うまぴょい伝説
m5cARPe-ikM, We are DREAMERS!!
k6HEwAXGbWM, GIRLS' LEGEND U ―やっとみんな会えたね―
lNqA0ETpkdU, バクシンバクシンバクシンシン
oaUSGL8FCAU, Bakushin Bakushin Bakushinshin (Ogosoka Ver.)
mDsEcTzKzWQ, Bakushin Bakushin Bakushinshin (Otsukare Ver.)
cYA-R25OxTA, Bakushin Bakushin Bakushinshin (Yaruki Ver.)
pWUI8l3R7WQ, Teio Teio Teiteio
fWibq2aG_DQ, Gorushin Gorushin Gorushinshin
YoaJKlp0K_E, Hashire Umamusume
5IoAsYz7GUA, Pakatube! desu ga, Nani ka?
Nu_y5orktv0, 【公式ミュージックビデオ】ゴルシラップ
yIAQEE5MlHg, 笑顔の宝物 -Beyond The Future!-
3mFy8it0Hew, マーベラスサンデータイム☆★
p3IYiWT7fik, ときめきスクランブル
7o_pxYytWgs, ユースフルアイズ
ITwVMY8XyBI, うまぴょい伝説
ELX4WXsp3Og, メジロ讃歌
Me0x92gZGAA, Gaze on Me!
JCVyWtAlzhU, 忘却にて
Z0s_UdXOTIY, LIKE THE WIND
HsuoXU_ruYU, 笑っちゃお！
u1fMTHmXdT4, 立ち位置ゼロ番！順位は一番！
Fs_MmLFzZ2o, Precious Star Dreamer
r92eRcnS9J0, うまぴょい伝説
yomIQJwnqYM, KIRARI MAGIC SHOW
N24sH7sKaJM, ラキハピファンタスティック
izZlRWyH_x4, けっぱれ！輝きストレート
R25Fcj606sY, 悠々閑々
754n0WloasM, Ms. VICTORIA
B4CEjCZ-Up0, うまぴょい伝説
ZYhg1eF3vDs, Overrunner!
ERMujLduUZ0, Destroy for Dasein
9P932IUgLUE, THE SUPER STRONG S
6TkPERaCDSA, Play Again
ra90h4K1A_U, うまぴょい伝説
mVHP_ExFVYY, トレセン体操
PuqI5P_o90E, チヨノオーのお悩み相談室のうた
7ngFJRU4yd0, ゴルシでラップ -It's むりむり-
